pages,question
1,"De ce am nevoie de certificat de celibat ca să mă căsătoresc în străinătate?"
1,"Cine pune apostila pe certificatul de celibat?"
1,"Cât este valabil certificatul de celibat pentru străinătate?"
1,"Ce diferență este între certificatul de celibat și certificatul de cutumă?"
1,"Pot obține certificatul de celibat dacă sunt deja plecat din țară?"
1,"Există cu adevărat un „certificat de celibat”?"
1,"Cine eliberează Anexa 9?"
1,"Cât costă certificatul de celibat (Anexa 9)?"
1,"Pot obține Anexa 9 online, fără să merg la ghișeu?"
1,"Pentru ce se folosește, în practică, certificatul de celibat?"
1,"Pot obține certificatul de naștere din străinătate fără să vin în România?"
1,"Care e diferența dintre duplicatul certificatului și extrasul multilingv?"
1,"În ce țări e valabil extrasul multilingv fără apostilă?"
1,"Locuiesc în Marea Britanie, SUA sau Canada. Merge extrasul multilingv?"
1,"Cum funcționează procura specială dacă nu sunt în țară?"
1,"Cât durează pe ruta consulară?"
1,"Certificatul vechi, cu coperta veche, mai e valabil?"
1,"Trebuie certificat de naștere pentru buletin?"
1,"Se poate face buletin fără certificat de naștere?"
1,"Se poate schimba buletinul fără certificat de naștere?"
1,"Buletin provizoriu fără certificat de naștere se poate?"
1,"Trebuie certificat de naștere pentru pașaport?"
1,"Se poate face pașaport fără certificat de naștere?"
1,"Trebuie certificat de naștere la pașaport pentru copil?"
1,"Trebuie certificat de naștere pentru botez?"
1,"Am pierdut și certificatul de naștere, și buletinul. De unde încep?"
1,"Eliberare certificat de naștere fără buletin se poate?"
1,"Am pierdut certificatul de naștere. Ce trebuie să fac?"
1,"În cât timp se eliberează un certificat de naștere pierdut?"
1,"Cât costă eliberarea unui duplicat de certificat de naștere?"
1,"Pot obține duplicatul dacă am pierdut și buletinul?"
1,"Pot solicita duplicatul din altă localitate decât cea în care m-am născut?"
1,"Cum aflu numărul de carte funciară?"
1,"Care e diferența dintre numărul cadastral și numărul de carte funciară?"
1,"Unde găsesc numărul cadastral într-un extras de carte funciară?"
1,"Cum localizez terenul pe hartă după numărul cadastral?"
1,"Am numărul cadastral, dar nu apare nimic pe geoportal. De ce?"
1,"Cât costă identificarea imobilului dacă nu am numărul de carte funciară?"
1,"Pot solicita un certificat de naștere online pentru copilul meu minor?"
1,"Certificatul de căsătorie digital poate fi folosit în străinătate?"
1,"Cum pot solicita certificatul de naștere prin eGhișeul?"
1,"Cum primesc suport dacă am întrebări sau probleme tehnice?"
1,"Noile certificate de stare civilă sunt valabile în toate țările?"
1,"La ce oră se publică cursul BNR?"
1,"De ce cursul de la bancă este diferit de cursul BNR?"
1,"Ce curs se folosește în weekend?"
1,"Cursul de pe această pagină este oficial și actualizat?"
1,"Cum obțin un duplicat al certificatului de căsătorie?"
1,"Cât durează eliberarea unui duplicat de certificat de căsătorie?"
1,"Cât costă duplicatul certificatului de căsătorie?"
1,"Pot obține duplicatul fără să fie prezenți ambii soți?"
1,"Mi-am schimbat numele după căsătorie. Am nevoie de duplicat?"
1,"De unde pot cere duplicatul certificatului de naștere?"
1,"În cât timp se eliberează duplicatul?"
1,"Cât costă un duplicat de certificat de naștere?"
1,"Ce acte îmi trebuie pentru duplicat?"
1,"Care e diferența dintre „duplicat\"" și „certificat pierdut\""?"
1,"Care este valabilitatea certificatului constatator?"
1,"Ce trebuie să fac în cazul în care informațiile din certificatul constatator sunt inexacte?"
1,"Pot solicita un certificat constatator online?"
1,"Cât timp durează obținerea certificatului constatator?"
1,"Care sunt costurile implicate în obținerea certificatului constatator?"
1,"Este gratuit extrasul de carte funciară?"
1,"Ce documente sunt gratuite prin MyTerra?"
1,"Cât durează să obții extrasul gratuit prin MyTerra?"
1,"Pot obține extrasul gratuit fără cont MyTerra?"
1,"Extrasul gratuit de informare e valabil la notar?"
1,"Pot scoate extrasul de carte funciară noaptea sau în weekend?"
1,"Ce este programul Casa Verde?"
1,"Ce înseamnă un Extras de Carte Funciară?"
1,"Cine poate să aplice pentru Casa Verde?"
1,"Cât este valabil un Extras de Carte Funciară?"
1,"Care sunt criteriile de eligibilitate pentru Programul Casa Verde?"
1,"Cine are nevoie de acest certificat?"
1,"Cât timp este valabil certificatul de integritate comportamentală?"
1,"Cum obțin certificatul online?"
1,"Cât durează obținerea unui cazier judiciar online?"
1,"Pot obține documente dacă sunt în străinătate?"
1,"Documentele obținute prin eGhișeul sunt legale și oficiale?"
1,"Cine procesează cererile și ce înseamnă „avocat colaborator\""?"
1,"Ce metode de plată acceptați?"
1,"Cum funcționează livrarea documentelor?"
1,"Ce fac dacă am nevoie de traducere legalizată?"
1,"Cât timp este valabil certificatul de cazier judiciar?"
1,"Este valabil cazierul judiciar românesc în străinătate?"
1,"Care este diferența dintre cazier judiciar și certificat de integritate?"
1,"Ce este extrasul de carte funciară și când am nevoie de el?"
1,"Ce este cazierul fiscal și cine are nevoie de el?"
1,"Pentru ce am nevoie de certificat de celibat?"
1,"Ce documente sunt necesare pentru a solicita documente online?"
1,"Ce este certificatul constatator și când este necesar?"
1,"Care este diferența dintre cazierul auto și cazierul judiciar?"
1,"Cât timp se păstrează faptele în cazierul auto?"
1,"Influențează cazierul auto prima de asigurare?"
1,"Pot solicita cazierul auto dacă am permisul suspendat?"
1,"Cât durează pentru titularii de permise străine?"
1,"În cât timp trebuie înregistrată nașterea copilului?"
1,"Unde se înregistrează nașterea?"
1,"Cât costă primul certificat de naștere al copilului?"
1,"Ce acte îmi trebuie ca să înregistrez nașterea?"
1,"Ce se întâmplă dacă am depășit termenul de 30 de zile?"
1,"Există un model PDF de certificat de căsătorie de descărcat?"
1,"Ce date conține certificatul de căsătorie?"
1,"Cum obțin un exemplar oficial dacă nu am certificatul?"
1,"Cât durează radierea unei firme?"
1,"Se poate radia o firmă cu datorii?"
1,"Ce acte trebuie pentru radiere?"
1,"Ce se întâmplă cu banii și bunurile rămase în firmă?"
1,"Care este rolul ONRC în economia României?"
1,"Ce proceduri implică înregistrarea unei societăți comerciale la ONRC?"
1,"Cum pot accesa serviciile ONRC?"
1,"Care sunt documentele necesare pentru obținerea unui certificat constatator de la ONRC?"
1,"Cât durează eliberarea unui certificat constatator?"
1,"Mai este valabil un certificat de naștere vechi?"
1,"Cum schimb un certificat de naștere vechi cu unul nou?"
1,"Trebuie să predau certificatul vechi?"
1,"Pot schimba certificatul vechi dacă locuiesc în altă localitate sau în străinătate?"
1,"Ce acte trebuie pentru schimbarea sediului social?"
1,"Cât durează schimbarea sediului la ONRC?"
1,"Trebuie să anunț ANAF după schimbarea sediului?"
1,"Ce se întâmplă dacă sediul social a expirat și nu îl prelungesc?"
1,"Ce presupune actualizarea adresei în cartea funciară?"
1,"Când am nevoie de această actualizare?"
1,"Ce acte sunt necesare?"
1,"Cât durează actualizarea adresei?"
1,"Cine poate cere actualizarea adresei?"
1,"Ce primesc la final?"
1,"Ce este cazierul auto?"
1,"Ce acte îmi trebuie pentru a comanda?"
1,"Cât durează să primesc cazierul auto?"
1,"Am permis emis în străinătate. Pot obține cazierul auto din România?"
1,"Care e diferența dintre cazierul auto și cazierul judiciar?"
1,"Care e diferența dintre cazierul auto și istoricul vehiculului?"
1,"Cât este valabil cazierul auto?"
1,"Îmi trebuie cazier auto pentru atestatul profesional?"
1,"Cât costă cazierul auto?"
1,"Cum primesc cazierul auto?"
1,"Trebuie să merg personal la Poliția Rutieră?"
1,"Pot vedea punctele mele de penalizare în cazierul auto?"
1,"Ce este cazierul fiscal?"
1,"Care este diferența dintre cazier fiscal și cazier judiciar?"
1,"Pot cere cazier fiscal pentru o firmă?"
1,"Cazierul fiscal este gratuit?"
1,"Care e diferența dintre cazierul fiscal și certificatul de atestare fiscală?"
1,"Pot obține cazierul fiscal fără cont SPV?"
1,"Unde se eliberează cazierul judiciar în Alba Iulia?"
1,"Pot obține cazierul din Alba Iulia fără să stau la coadă?"
1,"Unde se eliberează cazierul judiciar în Alexandria?"
1,"Pot obține cazierul din Alexandria fără deplasare?"
1,"Unde și când se eliberează cazierul judiciar în Arad?"
1,"Pot cere cazierul în Arad fără să mă deplasez?"
1,"Unde se eliberează cazierul judiciar în Bacău?"
1,"Pot cere cazierul în Bacău dacă lucrez în străinătate?"
1,"Unde se eliberează cazierul judiciar în Baia Mare?"
1,"Pot obține cazierul din Baia Mare pentru muncă în străinătate?"
1,"Unde obțin cazierul judiciar dacă locuiesc în Bârlad?"
1,"Pot obține cazierul din Bârlad fără drum la Vaslui?"
1,"Unde se eliberează cazierul judiciar în Bistrița?"
1,"Pot obține cazierul din Bistrița fără deplasare?"
1,"Unde se eliberează cazierul judiciar în Botoșani?"
1,"Pot obține cazierul din Botoșani fără să stau la coadă?"
1,"Unde se eliberează cazierul judiciar în Brăila?"
1,"Pot obține cazierul din Brăila fără deplasare?"
1,"Unde și când se eliberează cazierul judiciar în Brașov?"
1,"Pot obține cazierul în Brașov fără să stau la coadă?"
1,"Unde se eliberează cazierul judiciar în București?"
1,"Pot obține cazierul în București fără să merg la secția de poliție?"
1,"Unde se eliberează cazierul judiciar în Buzău?"
1,"Pot obține cazierul din Buzău fără să mă deplasez?"
1,"Unde se eliberează cazierul judiciar în Călărași?"
1,"Pot obține cazierul din Călărași fără să stau la coadă?"
1,"Unde se eliberează cazierul judiciar în Cluj-Napoca?"
1,"Pot obține cazierul din Cluj dacă lucrez în străinătate?"
1,"Care este adresa ghișeului de cazier judiciar în Constanța?"
1,"Am nevoie de cazier pentru îmbarcare pe navă — îl pot obține online din Constanța?"
1,"Unde se eliberează cazierul judiciar în Craiova?"
1,"Cât durează cazierul judiciar obținut online din Craiova?"
1,"Unde se eliberează cazierul judiciar în Deva?"
1,"Pot obține cazierul din Deva fără deplasare?"
1,"Unde se eliberează cazierul judiciar în Drobeta-Turnu Severin?"
1,"Pot obține cazierul fără să merg la ghișeu?"
1,"Unde se eliberează cazierul judiciar în Focșani?"
1,"Pot obține cazierul din Focșani fără să mă deplasez?"
1,"Unde se eliberează cazierul judiciar în Galați?"
1,"Cât durează cazierul obținut online din Galați?"
1,"Unde se eliberează cazierul judiciar în Giurgiu?"
1,"Sunt șofer profesionist — pot obține cazierul din Giurgiu online?"
1,"Unde se obține cazierul judiciar în Iași?"
1,"Pot cere cazierul în Iași pentru altcineva din familie?"
1,"Unde se eliberează cazierul judiciar pentru locuitorii din Ilfov?"
1,"Locuiesc în Ilfov — pot obține cazierul fără să merg până la ghișeu?"
1,"Unde obțin cazierul judiciar dacă locuiesc în Lugoj?"
1,"Pot obține cazierul din Lugoj fără drum la Timișoara?"
1,"Unde obțin cazierul judiciar dacă locuiesc în Mediaș?"
1,"Pot obține cazierul din Mediaș fără drum la Sibiu?"
1,"Unde se eliberează cazierul judiciar în Miercurea Ciuc?"
1,"Pot obține cazierul din Miercurea Ciuc fără deplasare?"
1,"Unde obțin cazierul judiciar dacă locuiesc în Onești?"
1,"Pot obține cazierul din Onești fără drum la Bacău?"
1,"Unde se eliberează cazierul judiciar în Oradea?"
1,"Pot obține cazierul din Oradea pentru a lucra în Ungaria sau UE?"
1,"Ce este Cazierul Judiciar?"
1,"Care e diferența dintre Cazier Judiciar și Cazier Fiscal?"
1,"De ce aveți nevoie de datele părinților?"
1,"Cât timp este valabil Cazierul Judiciar?"
1,"Pot cere cazier pentru altcineva?"
1,"Ce se întâmplă dacă am antecedente penale?"
1,"Ce este Cazierul Judiciar pentru Persoană Juridică?"
1,"Ce firmă poate solicita cazier judiciar?"
1,"Cum funcționează auto-completarea CUI?"
1,"Cine poate solicita cazierul pentru firmă?"
1,"Ce se întâmplă dacă firma are antecedente?"
1,"Este valabil pentru licitații SEAP?"
1,"Unde obțin cazierul judiciar în Piatra Neamț?"
1,"Pot obține cazierul din Piatra Neamț dacă sunt plecat din oraș?"
1,"Unde se eliberează cazierul judiciar în Pitești?"
1,"Am nevoie de cazier pentru angajare la Dacia — îl pot obține online?"
1,"Unde se eliberează cazierul judiciar în Ploiești?"
1,"Pot obține cazierul din Ploiești fără să stau la coadă?"
1,"Unde se eliberează cazierul judiciar în Râmnicu Vâlcea?"
1,"Pot obține cazierul din Râmnicu Vâlcea fără să mă deplasez?"
1,"Unde se eliberează cazierul judiciar în Reșița?"
1,"Pot obține cazierul din Reșița fără deplasare?"
1,"Unde obțin cazierul judiciar în Satu Mare?"
1,"Pot obține cazierul din Satu Mare pentru un loc de muncă în străinătate?"
1,"Unde obțin cazierul judiciar dacă locuiesc în Sebeș?"
1,"Pot obține cazierul din Sebeș fără drum la Alba Iulia?"
1,"Unde se eliberează cazierul judiciar în Sfântu Gheorghe?"
1,"Pot obține cazierul din Sfântu Gheorghe fără să mă deplasez?"
1,"Unde se obține cazierul judiciar în Sibiu?"
1,"Pot obține cazierul din Sibiu dacă sunt plecat în străinătate?"
1,"Unde se eliberează cazierul judiciar în Slatina?"
1,"Cât durează să obțin cazierul în Slatina prin eGhișeul.ro?"
1,"Unde se eliberează cazierul judiciar în Slobozia?"
1,"Pot obține cazierul din Slobozia fără deplasare?"
1,"Unde se eliberează cazierul judiciar în Suceava?"
1,"Pot obține cazierul din Suceava fără să mă deplasez?"
1,"Unde se eliberează cazierul judiciar în Târgoviște?"
1,"Pot obține cazierul din Târgoviște fără să stau la coadă?"
1,"Unde se eliberează cazierul judiciar în Târgu Jiu?"
1,"Care e programul cu publicul pentru cazier la IPJ Gorj?"
1,"Unde se eliberează cazierul judiciar în Târgu Mureș?"
1,"Pot cere cazierul în Târgu Mureș pentru angajare în sănătate?"
1,"Care este programul ghișeului de cazier judiciar în Timișoara?"
1,"Cât durează eliberarea cazierului în Timișoara?"
1,"Unde se eliberează cazierul judiciar în Tulcea?"
1,"Pot obține cazierul din Tulcea fără deplasare?"
1,"Unde obțin cazierul judiciar dacă locuiesc în Turda?"
1,"Pot evita drumul până la Cluj-Napoca pentru cazier?"
1,"Unde se eliberează cazierul judiciar în Vaslui?"
1,"Pot obține cazierul din Vaslui fără deplasare?"
1,"Unde se eliberează cazierul judiciar în Zalău?"
1,"Pot cere cazierul în Zalău pentru angajare la Michelin?"
1,"Cât durează obținerea cazierului judiciar online?"
1,"Care este prețul cazierului judiciar online în 2026?"
1,"Care este valabilitatea cazierului judiciar?"
1,"Ce documente sunt necesare pentru a obține cazierul judiciar prin eGhișeul.ro?"
1,"Pot obține cazier judiciar online dacă locuiesc în străinătate?"
1,"Trebuie să mă deplasez la Poliție sau la altă instituție?"
1,"Cazierul judiciar online este același document ca cel obținut la ghișeu?"
1,"Ce conține cazierul judiciar?"
1,"Pot obține cazier judiciar dacă am condamnări?"
1,"Pot folosi cazierul judiciar în străinătate?"
1,"Cum se face plata și cât de sigură este?"
1,"Pot anula sau obține restituire?"
1,"Care este diferența dintre cazier judiciar și certificat de integritate comportamentală?"
1,"Eliberez cazier pentru o firmă (persoană juridică) — ce ar trebui să știu?"
1,"Acceptați plata cu cardul firmei pentru o cerere personală?"
1,"Documentul se livrează doar pe email sau și pe hârtie?"
1,"Am pierdut sau am uitat să descarc documentul. Pot să-l descarc din nou?"
1,"Pot obține cazierul judiciar gratuit?"
1,"Cum se face eliberarea cazierului judiciar online?"
1,"Cât costă cazierul judiciar și unde se plătește taxa?"
1,"Pot obține certificatul constatator noaptea sau în weekend?"
1,"Ce tipuri de certificat constatator pot comanda?"
1,"Certificatul constatator este la zi?"
1,"Cum verific dacă o persoană este asociat sau administrator într-o firmă?"
1,"Cât costă un certificat constatator?"
1,"De unde obțin certificatul constatator?"
1,"Care e diferența dintre certificatul de bază și cel extins?"
1,"Ce e diferit la certificatul pentru fonduri IMM și la cel de insolvență?"
1,"Am PFA sau întreprindere individuală — ce certificat primesc?"
1,"E acceptat la bancă și la notar?"
1,"Se poate obține gratuit certificatul constatator?"
1,"Pot obține certificat pentru orice firmă?"
1,"Este valabil pentru licitații publice?"
1,"Cât este valabil certificatul constatator?"
1,"Când este obligatoriu?"
1,"Cât este valabil certificatul?"
1,"Pot obține certificatul de integritate comportamentală online, fără să merg la Poliție?"
1,"Certificatul de integritate comportamentală este gratuit?"
1,"Pot obține certificatul în Cluj, București sau alt oraș?"
1,"„Adeverința de integritate comportamentală” este același lucru cu certificatul?"
1,"Ce atestă certificatul privind deținerea de imobile?"
1,"Care e diferența dintre certificatul de deținere și cel de nedeținere?"
1,"Ce date îmi trebuie pentru a comanda?"
1,"Pe ce zonă se face verificarea?"
1,"Apar și imobilele neintabulate sau din cărți funciare vechi?"
1,"Cât costă?"
1,"La ce dosare este cerut?"
1,"Ce sunt sarcinile unui imobil?"
1,"Ce conține certificatul de sarcini?"
1,"Cât durează eliberarea certificatului de sarcini?"
1,"Cât costă certificatul de sarcini?"
1,"Certificatul de sarcini este valabil la notar și la bancă?"
1,"Cine poate cere un certificat de sarcini?"
1,"Ce este certificatul de urbanism?"
1,"Cât costă obținerea certificatului de urbanism prin eGhișeul?"
1,"Cât durează până primesc certificatul?"
1,"Cât timp este valabil certificatul de urbanism?"
1,"Certificatul de urbanism ține loc de autorizație de construire?"
1,"Care e diferența dintre certificatul pentru informare și cel pentru construire?"
1,"Este obligatoriu certificatul de urbanism la vânzarea unui teren?"
1,"Ce înseamnă POT și CUT?"
1,"Funcționează pentru orice localitate din România?"
1,"Ce documente pot obține din arhiva OCPI?"
1,"Ce este o copie certificată?"
1,"Cât costă copia din arhiva OCPI?"
1,"Nu știu exact ce piesă îmi trebuie. Cum procedez?"
1,"Pot folosi copia într-un dosar la instanță sau la notar?"
1,"Ce este copia cărții funciare in extenso?"
1,"Cu ce diferă de extrasul de carte funciară de informare?"
1,"Ce conțin părțile A, B și C ale cărții funciare?"
1,"Când am nevoie de copia in extenso?"
1,"Cine poate cere copia in extenso?"
1,"Cât costă copia cărții funciare in extenso?"
1,"Nu știu numărul cadastral sau de carte funciară. Ce fac?"
1,"Ce valabilitate are copia in extenso?"
1,"Ce conține copia contractului de vânzare-cumpărare?"
1,"Cine poate cere o copie a contractului?"
1,"Ce fac dacă nu sunt proprietarul imobilului?"
1,"Cât costă copia contractului?"
1,"Nu știu numărul de carte funciară sau cadastral. Ce fac?"
1,"Care este valabilitatea copiei contractului?"
1,"Ce este intabularea?"
1,"Ce conține copia de intabulare?"
1,"La ce îmi folosește copia de intabulare?"
1,"Cât costă copia de intabulare?"
1,"Este valabilă la notar și la bancă?"
1,"Ce este sistemul de proiecție Stereo 70?"
1,"Ce conține inventarul de coordonate?"
1,"Cui îi folosește inventarul de coordonate?"
1,"Cât costă copia inventarului de coordonate?"
1,"În ce format primesc inventarul de coordonate?"
1,"Ce este copia planului cadastral?"
1,"Ce conține documentul?"
1,"La ce îmi folosește?"
1,"Cât costă copia planului cadastral?"
1,"Cât timp este valabilă copia?"
1,"Ce este planul de încadrare în zonă?"
1,"La ce îmi folosește planul de încadrare?"
1,"Cât costă copia planului de încadrare?"
1,"În ce format primesc planul de încadrare?"
1,"Ce este releveul unui apartament?"
1,"Ce conține copia după releveu?"
1,"La ce folosește releveul la vânzarea unui apartament?"
1,"Am nevoie de releveu pentru creditul ipotecar?"
1,"Cu ce diferă releveul de planul cadastral?"
1,"Cât costă copia după releveu?"
1,"Nu știu numărul cadastral al apartamentului. Ce fac?"
1,"Am nevoie de cont ANCPI? În ce format primesc releveul?"
1,"Ce este certificatul de căsătorie?"
1,"Am pierdut certificatul de căsătorie. Ce fac?"
1,"Pot obține certificatul dintr-o altă localitate sau din străinătate?"
1,"Cât este valabil certificatul de căsătorie?"
1,"Cine poate cere un duplicat?"
1,"Ce este certificatul de căsătorie digital sau în format 2025?"
1,"Ce acte îmi trebuie pentru un duplicat de certificat de căsătorie?"
1,"Ce este certificatul de celibat?"
1,"Certificatul de celibat este același cu adeverința de celibat?"
1,"Pot folosi certificatul de celibat pentru căsătoria în străinătate?"
1,"Am nevoie de apostilă pe certificatul de celibat?"
1,"Cât durează eliberarea certificatului de celibat?"
1,"Cine poate cere certificatul de celibat?"
1,"Pot obține certificatul de celibat din altă localitate sau din diaspora?"
1,"Cât costă certificatul de celibat în România?"
1,"Ce este certificatul de naștere?"
1,"Cum obțin un certificat de naștere pierdut?"
1,"Pot obține certificatul din altă localitate sau din străinătate?"
1,"Cât timp este valabil certificatul de naștere?"
1,"Pot cere certificatul pentru altcineva?"
1,"Pot obține certificatul de naștere dintr-o altă localitate, fără să mă deplasez?"
1,"Sunt cetățean român plecat din țară — pot cere certificatul din diaspora?"
1,"Ce este extrasul de carte funciară colectivă?"
1,"Cu ce diferă de extrasul de carte funciară individuală?"
1,"Ce conține extrasul CF colectivă?"
1,"Ce sunt părțile comune și cotele indivize?"
1,"De ce am nevoie de extrasul colectiv la vânzarea apartamentului?"
1,"Cât costă extrasul CF colectivă?"
1,"Nu știu numărul CF colectivă. Ce fac?"
1,"Trebuie să merg la OCPI Alba?"
1,"Trebuie să merg la OCPI Arad?"
1,"Trebuie să merg la OCPI Argeș?"
1,"Imobilul e în Mioveni sau Ștefănești — pot cere extrasul online?"
1,"Unde depun cererea la OCPI Argeș dacă totuși vreau la ghișeu?"
1,"Trebuie să merg la OCPI Bacău?"
1,"Trebuie să merg la OCPI Bihor?"
1,"Pot obține extras pentru un apartament din Băile Felix?"
1,"Casele vechi din Bihor apar în cartea funciară?"
1,"Trebuie să merg la OCPI Bistrița-Năsăud?"
1,"Trebuie să merg la OCPI Botoșani?"
1,"Trebuie să merg la OCPI Brăila?"
1,"Trebuie să merg la OCPI Brașov?"
1,"Pot cere extras pentru o cabană din Râșnov sau un apartament din Predeal?"
1,"Imobilele vechi din Brașov au carte funciară?"
1,"Trebuie să merg la OCPI București?"
1,"Pot obține extras de carte funciară pentru orice sector din București?"
1,"Unde este sediul OCPI București?"
1,"Trebuie să merg la OCPI Buzău?"
1,"Trebuie să merg la OCPI Călărași?"
1,"Trebuie să merg la OCPI Caraș-Severin?"
1,"Trebuie să merg la OCPI Cluj?"
1,"Pot cere extras pentru un apartament din Florești sau Turda?"
1,"Trebuie să ajung la sediul OCPI Cluj de pe Alexandru Vaida Voevod?"
1,"Trebuie să merg la OCPI Constanța?"
1,"Pot obține extras pentru un apartament din Mamaia sau Năvodari?"
1,"Cumpăr un apartament de vacanță pe litoral. Ce verific în extras?"
1,"Trebuie să merg la OCPI Covasna?"
1,"Trebuie să merg la OCPI Dâmbovița?"
1,"Trebuie să merg la OCPI Dolj?"
1,"Imobilul e în Cârcea sau Podari — pot cere extrasul online?"
1,"Unde este OCPI Dolj și trebuie să ajung acolo?"
1,"Trebuie să merg la OCPI Galați?"
1,"Pot cere extras pentru un imobil din Tecuci sau Matca?"
1,"Unde este OCPI Galați?"
1,"Trebuie să merg la OCPI Giurgiu?"
1,"Trebuie să merg la OCPI Gorj?"
1,"Trebuie să merg la OCPI Harghita?"
1,"Trebuie să merg la OCPI Hunedoara?"
1,"Trebuie să merg la OCPI Ialomița?"
1,"Trebuie să merg la OCPI Iași?"
1,"Imobilul e în Miroslava sau Valea Lupului — merge online?"
1,"Unde este OCPI Iași și trebuie să ajung acolo?"
1,"Trebuie să merg la OCPI Ilfov?"
1,"Imobilul e în Popești-Leordeni, Bragadiru sau altă localitate din Ilfov — merge online?"
1,"De ce OCPI Ilfov are sediul în București?"
1,"Trebuie să merg la OCPI Maramureș?"
1,"Trebuie să merg la OCPI Mehedinți?"
1,"Trebuie să merg la OCPI Mureș?"
1,"Pot cere extras pentru un imobil din Sighișoara sau Reghin?"
1,"Ce program are OCPI Mureș dacă vreau totuși la ghișeu?"
1,"Trebuie să merg la OCPI Neamț?"
1,"Trebuie să merg la OCPI Olt?"
1,"Trebuie să merg la OCPI Prahova?"
1,"Pot cere extras pentru un apartament din Sinaia sau Bușteni?"
1,"Cumpăr o proprietate în Prahova, dar locuiesc în alt județ. Contează?"
1,"Trebuie să merg la OCPI Sălaj?"
1,"Trebuie să merg la OCPI Satu Mare?"
1,"Trebuie să merg la OCPI Sibiu?"
1,"Pot cere extras pentru un imobil din Șelimbăr sau Cisnădie?"
1,"Casele vechi din Sibiu au carte funciară?"
1,"Trebuie să merg la OCPI Suceava?"
1,"Pot obține extras pentru o pensiune din Gura Humorului sau Vatra Dornei?"
1,"Unde este OCPI Suceava?"
1,"Trebuie să merg la OCPI Teleorman?"
1,"Trebuie să merg la OCPI Timiș?"
1,"Imobilul e în Dumbrăvița sau Giroc — pot cere extrasul online?"
1,"Imobilele vechi din Timiș au carte funciară?"
1,"Trebuie să merg la OCPI Tulcea?"
1,"Trebuie să merg la OCPI Vâlcea?"
1,"Trebuie să merg la OCPI Vaslui?"
1,"Trebuie să merg la OCPI Vrancea?"
1,"Pot obține extrasul de carte funciară noaptea sau în weekend?"
1,"Ce este Extrasul de Carte Funciară?"
1,"Ce înseamnă extras de carte funciară?"
1,"De unde se scoate extrasul de carte funciară?"
1,"Cine poate scoate un extras de carte funciară?"
1,"Ce acte trebuie pentru extras de carte funciară?"
1,"Cât costă un extras de carte funciară?"
1,"Se poate obține gratuit extrasul de carte funciară?"
1,"Am nevoie de numărul cadastral?"
1,"Este necesar pentru vânzarea unui imobil?"
1,"Cum verific dacă ipoteca a fost radiată din cartea funciară?"
1,"Pentru reînnoirea cărții de identitate am nevoie de extras de carte funciară?"
1,"Ce este programul Casa Verde și ce extras îmi trebuie?"
1,"Extrasul de carte funciară se actualizează automat?"
1,"Pot verifica intabularea unui imobil online?"
1,"Care e diferența dintre extrasul gratuit de la ANCPI și cel de la eGhișeul?"
1,"Pot obține extrasul pentru un imobil din alt județ?"
1,"Extrasul de carte funciară este același lucru cu cadastrul?"
1,"Ce este extrasul multilingv de pe certificatul de căsătorie?"
1,"Pot comanda și certificatul de căsătorie împreună cu extrasul?"
1,"Ce este extrasul multilingv de pe certificatul de naștere?"
1,"Pot comanda și certificatul de naștere împreună cu extrasul?"
1,"Ce este extrasul de plan cadastral?"
1,"Cum localizez terenul după numărul cadastral?"
1,"Care e diferența între harta cadastrală online de pe geoportalul ANCPI și extrasul de plan cadastral?"
1,"Pot vedea cadastrul online pentru un imobil?"
1,"Cum verific dacă un teren este înscris în cadastru?"
1,"Cât costă planul cadastral?"
1,"Cum aflu numărul de carte funciară după adresă?"
1,"Pot localiza un teren după numărul cadastral?"
1,"Cum fac o verificare de cadastru online?"
1,"Cât costă identificarea imobilului?"
1,"Funcționează pentru apartamente?"
1,"Ce se întâmplă dacă imobilul nu poate fi identificat?"
1,"Pot identifica imobilul și după proprietar?"
1,"Cum căutați imobilele după numele proprietarului?"
1,"Ce date îmi trebuie pentru căutare?"
1,"Căutarea acoperă tot județul sau toată țara?"
1,"Pot căuta și o firmă (persoană juridică)?"
1,"Este legal? Cum respectați protecția datelor (GDPR)?"
1,"Ce este planul de amplasament și delimitare?"
1,"Ce conține planul de amplasament și delimitare?"
1,"Cât costă planul de amplasament și delimitare?"
1,"Planul este valabil pentru o autorizație de construire?"
1,"Pot folosi planul la vânzarea terenului?"
1,"Cum cumpăr rovinieta online?"
1,"Plata rovinietei online este sigură?"
1,"Cât durează până se activează rovinieta?"
1,"Ce categorie de rovinietă îmi trebuie?"
1,"Pot verifica dacă rovinieta este validă?"
1,"Ce risc dacă circul fără rovinietă validă?"
1,"Am primit SMS că am amendă de la Ministerul Transporturilor. E real?"
1,"Cum recunosc SMS-ul fals cu amendă?"
1,"Am dat click și am introdus datele cardului. Ce fac?"
1,"Cum verific dacă am cu adevărat o amendă de circulație?"
1,"Care e diferența dintre Ghișeul.ro și eGhișeul.ro?"
1,"Plata redusă a amenzii în 15 zile există cu adevărat?"
1,"Cât timp poate fi suspendată o firmă?"
1,"Ce obligații rămân în perioada de suspendare?"
1,"Se poate emite factură în timpul suspendării?"
1,"Cum se reia activitatea firmei?"
1,"Ce este pensia anticipată pentru femei?"
1,"Care sunt condițiile principale pentru pensia anticipată?"
1,"Cum citesc tabelul de pensionare anticipată?"
